#       r             R(r)          X(r)=rR(r)          Veff
  8.971438e-04   1.594269e+01   1.430288e-02  -8.917188e+03
  9.061603e-04   1.594211e+01   1.444611e-02  -8.828460e+03
  9.152673e-04   1.594153e+01   1.459076e-02  -8.740616e+03
  9.244659e-04   1.594094e+01   1.473686e-02  -8.653645e+03
  9.337570e-04   1.594035e+01   1.488441e-02  -8.567540e+03
  9.431414e-04   1.593975e+01   1.503344e-02  -8.482291e+03
  9.526201e-04   1.593915e+01   1.518395e-02  -8.397891e+03
  9.621941e-04   1.593854e+01   1.533597e-02  -8.314331e+03
  9.718643e-04   1.593792e+01   1.548950e-02  -8.231602e+03
  9.816317e-04   1.593730e+01   1.564456e-02  -8.149696e+03
  9.914973e-04   1.593667e+01   1.580116e-02  -8.068605e+03
  1.001462e-03   1.593603e+01   1.595933e-02  -7.988321e+03
  1.011527e-03   1.593539e+01   1.611908e-02  -7.908836e+03
  1.021693e-03   1.593475e+01   1.628042e-02  -7.830142e+03
  1.031961e-03   1.593409e+01   1.644336e-02  -7.752231e+03
  1.042332e-03   1.593343e+01   1.660793e-02  -7.675095e+03
  1.052808e-03   1.593276e+01   1.677414e-02  -7.598726e+03
  1.063389e-03   1.593209e+01   1.694201e-02  -7.523118e+03
  1.074076e-03   1.593141e+01   1.711154e-02  -7.448261e+03
  1.084871e-03   1.593072e+01   1.728277e-02  -7.374150e+03
  1.095774e-03   1.593002e+01   1.745571e-02  -7.300776e+03
  1.106787e-03   1.592932e+01   1.763036e-02  -7.228132e+03
  1.117910e-03   1.592861e+01   1.780676e-02  -7.156211e+03
  1.129145e-03   1.592790e+01   1.798491e-02  -7.085005e+03
  1.140493e-03   1.592717e+01   1.816484e-02  -7.014508e+03
  1.151955e-03   1.592644e+01   1.834656e-02  -6.944713e+03
  1.163533e-03   1.592571e+01   1.853008e-02  -6.875612e+03
  1.175227e-03   1.592496e+01   1.871544e-02  -6.807198e+03
  1.187038e-03   1.592421e+01   1.890264e-02  -6.739466e+03
  1.198968e-03   1.592345e+01   1.909170e-02  -6.672407e+03
  1.211018e-03   1.592268e+01   1.928265e-02  -6.606015e+03
  1.223188e-03   1.592191e+01   1.947549e-02  -6.540284e+03
  1.235482e-03   1.592112e+01   1.967026e-02  -6.475207e+03
  1.247898e-03   1.592033e+01   1.986696e-02  -6.410778e+03
  1.260440e-03   1.591953e+01   2.006562e-02  -6.346990e+03
  1.273108e-03   1.591873e+01   2.026626e-02  -6.283836e+03
  1.285903e-03   1.591791e+01   2.046889e-02  -6.221311e+03
  1.298826e-03   1.591709e+01   2.067353e-02  -6.159408e+03
  1.311880e-03   1.591626e+01   2.088022e-02  -6.098121e+03
  1.325064e-03   1.591542e+01   2.108895e-02  -6.037443e+03
  1.338381e-03   1.591457e+01   2.129977e-02  -5.977370e+03
